"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Gaurav K.K.; Baranwal G.","Gaurav, Keshab Kumar (59361508000); Baranwal, Gaurav (56051977100)","59361508000; 56051977100","Blockchain-driven parking reservation and recommendation system for shared spaces using multi-criteria decision-making with user feedback integration","2026","Computers and Electrical Engineering","129","","110771","","","0","10.1016/j.compeleceng.2025.110771","https://www.scopus.com/pages/publications/105020577765?origin=resultslist","To address urban parking challenges arising from increasing vehicle ownership and limited space for new developments, we propose a blockchain-powered parking reservation system. This system enables private parking spaces to be shared during unused times, helping to alleviate issues such as illegal parking and congestion. It takes into account important factors like proximity to the city center, cleanliness, security, and the availability of electric vehicle (EV) charging points, which have become crucial with the growing adoption of EVs. Using a multi-criteria decision-making method, it ranks parking options based on user preferences, assigning the best match or recommending alternatives if the preferred spot is unavailable. Additionally, a Bayesian average rating algorithm updates parking ratings based on user feedback, improving the experience for future users. Blockchain integration ensures automation, reduces operational costs and guarantees transparency and immutability. This innovative approach maximizes the utilization of existing parking resources and offers a secure, efficient, and user-centric solution to urban parking issues while contributing to sustainable city development. Copyright © 2025. Published by Elsevier Ltd.","Bayesian average rating; Clustering; Multi-criteria decision making (MCDM); Recommendation system; Shared parking; Sustainable city development","Bayesian networks; Behavioral research; Blockchain; Charging (batteries); Decision making; Information management; Information systems; Information use; Integration; Parking; Sustainable city; Urban growth; Bayesian; Bayesian average rating; Clusterings; Multi criteria decision-making; Multi-criteria decision making; Multicriteria decision-making; Multicriterion decision makings; Shared parking; Sustainable cities; Sustainable city development; Recommender systems","Article","Final","","Scopus","2-s2.0-105020577765"
"Singh A.R.; Kumar R.S.; Madhavi K.R.; Alsaif F.; Bajaj M.; Zaitsev I.","Singh, Arvind R. (55726465400); Kumar, R. Seshu (57226364104); Madhavi, K. Reddy (55353835800); Alsaif, Faisal (58107460300); Bajaj, Mohit (57189048184); Zaitsev, Ievgen (55606990800)","55726465400; 57226364104; 55353835800; 58107460300; 57189048184; 55606990800","Optimizing demand response and load balancing in smart EV charging networks using AI integrated blockchain framework","2024","Scientific Reports","14","1","31768","","","59","10.1038/s41598-024-82257-2","https://www.scopus.com/pages/publications/85213733443?origin=resultslist","The integration of Electric Vehicles (EVs) into power grids introduces several critical challenges, such as limited scalability, inefficiencies in real-time demand management, and significant data privacy and security vulnerabilities within centralized architectures. Furthermore, the increasing demand for decentralized systems necessitates robust solutions to handle the growing volume of EVs while ensuring grid stability and optimizing energy utilization. To address these challenges, this paper presents the Demand Response and Load Balancing using Artificial intelligence (DR-LB-AI) framework. The proposed framework leverages Artificial intelligence (AI) for predictive demand forecasting and dynamic load distribution, enabling real-time optimization of EV charging infrastructure. Furthermore, Blockchain technology is employed to facilitate decentralized, secure communication, ensuring tamper-proof energy transactions while enhancing transparency and trust among stakeholders. The DR-LB-AI framework significantly enhances energy distribution efficiency, reducing grid overload during peak periods by 20%. Through advanced demand forecasting and autonomous load adjustments, the system improves grid stability and optimizes overall energy utilization. Blockchain integration further strengthens security and privacy, delivering a 97.71% improvement in data protection via its decentralized framework. Additionally, the system achieves a 98.43% scalability improvement, effectively managing the growing volume of EVs, and boosts transparency and trust by 96.24% through the use of immutable transaction records. Overall, the findings demonstrate that DR-LB-AI not only mitigates peak demand stress but also accelerates response times for Load Balancing, contributing to a more resilient, scalable, and sustainable EV charging infrastructure. These advancements are critical to the long-term viability of smart grids and the continued expansion of electric mobility. © The Author(s) 2024.","Artificial intelligence; Blockchain; Demand response; EV charging stations; Load balancing","article; artificial intelligence; blockchain; data privacy; forecasting; human; pharmaceutics; reaction time; vulnerability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85213733443"
"Han Y.; Meng J.; Luo Z.","Han, Yinjie (59403231400); Meng, Jingyi (59402896800); Luo, Zihang (59403066600)","59403231400; 59402896800; 59403066600","Multi-Agent Deep Reinforcement Learning for Blockchain-Based Energy Trading in Decentralized Electric Vehicle Charger-Sharing Networks","2024","Electronics (Switzerland)","13","21","4235","","","10","10.3390/electronics13214235","https://www.scopus.com/pages/publications/85208571101?origin=resultslist","With The integration of renewable energy sources into smart grids and electric vehicle (EV) charger-sharing networks is essential for achieving the goal of environmental sustainability. However, the uneven distribution of distributed energy trading among EVs, fixed charging stations (FCSs), and mobile charging stations (MCSs) introduces challenges such as inadequate supply at FCSs and prolonged latencies at MCSs. In this paper, we propose a multi-agent deep reinforcement learning (MADRL)-based auction algorithm for energy trading that effectively balances charger supply with energy demand in distributed EV charging markets, while also reducing total charging latency. Specifically, this involves a MADRL-based hierarchical auction that dynamically adapts to real-time conditions, optimizing the balance of supply and demand. During energy trading, each EV, acting as a learning agent, can refine its bidding strategy to participate in various local energy trading markets, thus enhancing both individual utility and global social welfare. Furthermore, we design a cross-chain scheme to securely record and verify transaction results of energy trading in decentralized EV charger-sharing networks to ensure integrity and transparency. Finally, experimental results show that the proposed algorithm significantly outperforms both the second-price and double auctions in increasing global social welfare and reducing total charging latency. © 2024 by the authors.","blockchain; charger sharing; deep reinforcement learning; electric vehicles; mobile charging stations","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208571101"
"Sujit K.; Ramaswamy K.C.; Mathiyalagan S.R.; Giri J.; Kanan M.","Sujit, K. (57447790200); Ramaswamy, Komala Chowdenahally (58090830300); Mathiyalagan, Siva Ramkumar (57221602638); Giri, Jayant (57198345558); Kanan, Mohammad (57215079719)","57447790200; 58090830300; 57221602638; 57198345558; 57215079719","An efficient battery management system for electric vehicles using IoT & Blockchain","2025","Results in Engineering","27","","106284","","","11","10.1016/j.rineng.2025.106284","https://www.scopus.com/pages/publications/105011265566?origin=resultslist","Research and development in the vehicle industry have emphasized the potential for advancing electric transportation that is highly efficient, secure, and sustainable. The electric vehicle (EV), powered by renewable energy sources and equipped with high-efficiency electric motors and controls, offers a practical, dependable, and ecologically friendly urban transportation system. EVs operate using a battery that is equipped onboard. Practical and dependable system operation relies heavily on managing and monitoring batteries. Nevertheless, the market for electric vehicles has experienced a decline in growth due to their limited lifespan and high price. To enhance the system's efficiency and lifespan, substantially improving the battery management aspect is imperative. In this research, the Internet of Things (IoT), machine learning (ML), and Blockchain (BC) technologies are used to develop an energy-efficient EV battery management system (BMS). The IoT sensors are attached to the electric vehicles to collect data such as the charging level, the distance that must be driven, and the position of the electric vehicles. This information was saved and processed by a database, then inputted to the LightGBM classifier to determine the cost of charging. After that, it was processed by the power scheduling approach (PSA) to determine the space and time of charging that is closest to a particular electric vehicle and the charging site. At last, this information is saved in blocks to prevent electric vehicles from being misrouted and ensure that pricing transactions between users and charging stations are conducted securely using BC. The results demonstrate that the research model provided enhanced EV-BMS with an accuracy rate of 96.52 % and that it retains a communication overhead that is 12 % lower compared to the other models. © 2025","Battery management; Blockchain; Electric vehicle; IoT; Machine learning; Power scheduling","Automotive batteries; Battery management systems; Charging (batteries); Charging stations; Electric machine control; Energy efficiency; Learning systems; Machine learning; Renewable energy; Research and development management; Urban transportation; Battery Management; Block-chain; Electric transportation; Electric vehicle batteries; Lifespans; Machine-learning; Management systems; Power Scheduling; Research and development; Vehicle industry; Electric vehicles; Internet of things","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011265566"
"Sun Z.; Zhao P.; Wang C.; Zhang X.; Cheng H.","Sun, Zhe (57678287100); Zhao, Peng (57220868673); Wang, Chunping (55658011800); Zhang, Xiaoli (57195407596); Cheng, Hongbing (55854721200)","57678287100; 57220868673; 55658011800; 57195407596; 55854721200","An Efficient and Secure Trading Framework for Shared Charging Service Based on Multiple Consortium Blockchains","2023","IEEE Transactions on Services Computing","16","4","","2437","2450","14","10.1109/TSC.2022.3216659","https://www.scopus.com/pages/publications/85141443428?origin=resultslist","While electric vehicles are proliferating rapidly, the number of charging piles is only 1/16 of the number of electric vehicles, showing big tension between small supply of public charging piles and intense charging demand of electric vehicles. To alleviate the tension, it is highly desired to incorporate existing idle private charging piles into a shared charging service. However, existing solutions do not well implement the system due to some non-negligible issues, like poor consensus performance or lack of verification for outputs from blockchain networks. In the article, we propose an efficient and secure trading framework built atop multiple consortium blockchains. It devises a novel node voting mechanism so as to improve consensus efficiency. Meanwhile, it employs a publicly verifiable design based on the (t,n) Boneh-Lynn-Shacham (BLS) threshold signature technique, so as to enable entities outside the blockchain to verify the consistency between the output results with the valid consensus. Besides these novel system-level designs, it also introduces a fair and robust trading strategy running by smart contracts on the platform. Furthermore, we implemented a proof-of-concept system and conducted extensive experiments. The results show that the overall latency across chains is reduced by about 26% with the node voting mechanism and the transactions fees are comparable to recent popular cross-chain applications.  © 2008-2012 IEEE.","consortium blockchain; Cross-chain exchange; shared charging service","Blockchain; Chains; Commerce; Fault tolerance; Internet of things; Latexes; Peer to peer networks; Piles; Block-chain; Chain exchange; Consortium blockchain; Cross-chain exchange; Fault- tolerant systems; Peer-to-peer computing; Relay; Shared charging service; Voting mechanism; Smart contract","Article","Final","","Scopus","2-s2.0-85141443428"
"Saha G.C.; Monrat A.A.; Andersson K.","Saha, Gonesh Chandra (58632799300); Monrat, Ahmed Afif (57191736997); Andersson, Karl (7402136130)","58632799300; 57191736997; 7402136130","Enhancing EV Charging Resilience: A Review of Blockchain and Cybersecurity Applications","2026","Journal of Cybersecurity and Privacy","6","1","33","","","0","10.3390/jcp6010033","https://www.scopus.com/pages/publications/105031392331?origin=resultslist","The rapid expansion of electric vehicles (EVs) has added complexity to the resilience and security challenges to the EV charging systems, especially owing to the exposure to the cyber–physical threats and the reliance on centrally coordinated systems. Although the previous literature has discussed the use of blockchain in the context of smart grids and mobility services; its implementation to improve the resilience of EV charging, particularly when integrated with cybersecurity systems, is still insufficiently synthesized. Despite these issues, critical gaps persist in terms of scalability, interoperability, and cybersecurity enforcement. This study presents an exploratory literature review that examines the intersection of blockchain and cybersecurity enabled applications and introduces a comparative framework evaluating the conventional security controls with blockchain based cybersecurity solutions to improve the resilience of EV charging infrastructure. The authors analyzed 70 studies published between 2018 and 2025 to determine the security weaknesses and map them to decentralized solutions. Reported threats, security mechanisms, architectural decisions, and levels of validation were grouped and reviewed critically in the patterns of limitations with respect to scalability, interoperability, and deployment maturity. Through the synthesis of fragmented results in cross disciplinary research, the paper finds the main gaps in research and comparative research results that could be used as a comprehensive reference in future studies and system design in resilient EV charging infrastructures. © 2026 by the authors.","blockchain; cybersecurity; energy; EV charging; infrastructure; resilience","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031392331"
"Sundarakani B.; Rajamani H.-S.; Madmoune A.","Sundarakani, Balan (25655467900); Rajamani, Haile-Selassie (6602733431); Madmoune, Anas (57843088600)","25655467900; 6602733431; 57843088600","Sustainability study of electric vehicles performance in the UAE: moderated by blockchain","2024","Benchmarking","31","1","","199","219","18","10.1108/BIJ-10-2021-0624","https://www.scopus.com/pages/publications/85148711777?origin=resultslist","Purpose: The UAE has set an ambitious target to become one of the most sustainable countries in the world. In addition, the country's infrastructure is playing a pivotal role in terms of electric vehicle (EV) usability with regard to its roads, power generation capacity, availability of charging stations and the drive towards customer adoption. The readiness for EVs in the UAE is assessed in this study as part of its development towards its sustainable target. This research aims to study EV readiness among the UAE car users from a sustainability perspective. Design/methodology/approach: The proposed methodology follows with a comprehensive literature review to identify the various drivers of EV readiness and their contribution to sustainability. A list of hypotheses was developed based on the identified drivers to EV readiness. A questionnaire survey was designed to validate the hypothesis, and data were collected from consumers in the UAE. In total, 140 complete responses were received across different consumers and the results were studied using partial least square based structural equation modeling (PLS-SEM) method. Findings: An initial framework for EV readiness was developed, and analyses of the variables that are driving the relationships was done. The analysis confirmed that quality of service, power quality and infrastructure are positively linked to EV readiness in the UAE. However, the role of blockchain as a moderator to enhance the relationship between power quality, infrastructure and sustainability is not significant, indicating blockchain adoption in the UAE is still nascent in nature. However, its adoption has some potential to save energy. Research limitations/implications: The research is limited to the UAE region in terms of sample collection and respondents' profile. Further, research on EV readiness seemed to be early at present and therefore this research on EV readiness and its associated variables could set future research directions. Originality/value: Logistics industry and automotive industries will benefit from the outcomes of the study especially while operating in the UAE. Also, the research recommends EV makers to understand the relationship between quality of service, power quality, infrastructure, EV readiness and sustainability in order to move towards a more sustainable transportation future. © 2023, Emerald Publishing Limited.","Blockchain; EV readiness; Smart city; Smart logistics; Sustainability; UAE","","Article","Final","","Scopus","2-s2.0-85148711777"
"Bhattacharya P.; Tanwar S.; Bodkhe U.; Kumar A.; Kumar N.","Bhattacharya, Pronaya (57200306370); Tanwar, Sudeep (56576145100); Bodkhe, Umesh (57211485844); Kumar, Ashwani (57209569726); Kumar, Neeraj (57206866080)","57200306370; 56576145100; 57211485844; 57209569726; 57206866080","EVBlocks: A Blockchain-Based Secure Energy Trading Scheme for Electric Vehicles underlying 5G-V2X Ecosystems","2022","Wireless Personal Communications","127","3","","1943","1983","19","10.1007/s11277-021-08732-5","https://www.scopus.com/pages/publications/85110671778?origin=resultslist","In this paper, the authors propose a secure and trusted energy trading (ET) scheme for electric vehicles (EVs) for vehicle-to-anything (V2X) ecosystems. The scheme, named as EVBlocks, facilitates ET among entities (i.e., EVs, charging stations (CS), and smart grids (SG)) in a secured and trusted manner through a consortium blockchain (CBC) network. The scheme operates in three phases. In the first phase, to allow real-time and resilient network orchestration of V2X nodes, we consider the ET service designed over a fifth-generation (5G) enabled software-defined networking (SDN) environment. Integration of SDN in 5G-V2X ecosystems allows V2X nodes to eliminate intermediaries and handle many requests with a minimum response time. Then, in the second phase, a non-cooperative game is presented that optimizes a cost function and converges to reach at least one Nash equilibrium point. Finally, a consensus algorithm Proof-of-Greed (PoG) is proposed that handles fluctuations in charging/discharging EVs through an event-driven scheduling mechanism. The obtained results are compared against parameters, such as ET time, State-of-Charge (SoC) levels, EV utility, block-convergence time, profits, computation, and communication costs. For example, EVBlocks achieve an average SOC charge of 22.8MW, with a peak at 377.5MW, the average power dissipation of 4.1125 kWH that is lower than 25 % against existing conventional and fixed tariff schemes. The scheme converges at stable profit values for 5 EVs through a non-cooperative game. For proposed PoG consensus, the block convergence time for 1000 nodes is 138.96 seconds, at a computation cost of 46.92 milliseconds (ms) and communication cost of 149 bytes. The comparative analysis suggests the proposed scheme is efficient as compared to existing state-of-the-art approaches against compared parameters. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","5G; Blockchain; Cellular vehicle-to-anything; Distributed consensus; Electric vehicles; Energy trading; Non-cooperative game","5G mobile communication systems; Blockchain; Charging (batteries); Cost functions; Electric vehicles; Game theory; Power markets; Vehicle to Everything; 5g; Block-chain; Cellular vehicle-to-anything; Cellulars; Computation costs; Convergence time; Distributed consensus; Energy trading; Noncooperative game; Software-defined networkings; Profitability","Article","Final","","Scopus","2-s2.0-85110671778"
"Khalid R.; Malik M.W.; Alghamdi T.A.; Javaid N.","Khalid, Rabiya (57194326674); Malik, Muhammad Waseem (57216509312); Alghamdi, Turki Ali (35758232500); Javaid, Nadeem (26428797500)","57194326674; 57216509312; 35758232500; 26428797500","A consortium blockchain based energy trading scheme for Electric Vehicles in smart cities","2021","Journal of Information Security and Applications","63","","102998","","","39","10.1016/j.jisa.2021.102998","https://www.scopus.com/pages/publications/85117705858?origin=resultslist","The real time Vehicle-to-Grid (V2G) and Vehicle-to-Vehicle (V2V) energy trading have ameliorated the smart city environment. Electric Vehicles (EVs) in smart cities have made it possible to balance the energy demand and supply without burdening the power grids. They also help in minimizing both the heap amounts of pollution and the greenhouse gas emissions. EVs not only charge their batteries from Charging Stations (CSs), but when the smart city faces energy deficiency, they supply their surplus energy to the power grids to fulfill energy demand as well. In addition, EVs also balance the energy demand and supply through energy trading at the local level during peak hours, which strengthens V2V energy trading. However, some issues, such as security threats and privacy leakage prevent EVs from participating in the energy trading process. In addition, the lack of incentives and knowledge about the cost of reaching the energy trading place within minimum time are also big challenges. Therefore, to solve the aforementioned challenges, a secure and efficient scheme for V2V and V2G energy trading is proposed in this paper. The proposed scheme also helps in promoting environmental friendliness and making the smart cities sustainable and reliable. In the proposed scheme, energy trading transactions are secured using consortium blockchain, wherein the Local Aggregators (LAGs) are selected as authorized nodes. LAGs perform their role as energy brokers and are responsible for validating the energy trading requests using Proof of Authority (PoA) consensus mechanism. Moreover, a solution to find accurate distance with required expenses and time to reach the charging destination is also proposed, which effectively guides EVs to reach the relevant CSs and encourages energy trading. Besides, we propose a fair payment mechanism using a smart contract to avoid financial irregularities. An incentive provisioning mechanism is also given in the proposed work to prevent EVs from acting selfishly. The efficient power flow having minimized losses in the vehicular network is of much importance. Therefore, the energy losses incurred in both V2G and V2V are discussed in this work. Furthermore, Oyente is used for smart contract's security analysis and for testing Ethereum's resilience against different security flaws. Two attacker models are proposed and the security analyses of the models are also provided. The analyses show that the proposed system is robust against the double spending and Sybil attacks. Finally, the efficient performance of our proposed scheme is validated and analyzed. The simulation results proved that our proposed work outperforms existing work in terms of providing a secure and efficient energy trading platform for both V2G and V2V environments. © 2021 Elsevier Ltd","Consortium blockchain; Electric Vehicles; Energy trading; Smart cities; Smart contract","Blockchain; Charging (batteries); Electric load flow; Electric power transmission networks; Electric vehicles; Energy dissipation; Energy management; Gas emissions; Greenhouse gases; Network security; Power markets; Security systems; Smart city; Vehicle-to-grid; Block-chain; Charging station; Consortium blockchain; Demand and supply; Energy demands; Energy supplies; Energy trading; Real- time; Security analysis; Vehicle to Grid (V2G); Smart contract","Article","Final","","Scopus","2-s2.0-85117705858"
"Tanwar S.; Kakkar R.; Gupta R.; Raboaca M.S.; Sharma R.; Alqahtani F.; Tolba A.","Tanwar, Sudeep (56576145100); Kakkar, Riya (57362359600); Gupta, Rajesh (57201584761); Raboaca, Maria Simona (57205523105); Sharma, Ravi (59867627700); Alqahtani, Fayez (56113467000); Tolba, Amr (56442428300)","56576145100; 57362359600; 57201584761; 57205523105; 59867627700; 56113467000; 56442428300","Blockchain-based electric vehicle charging reservation scheme for optimum pricing","2022","International Journal of Energy Research","46","11","","14994","15007","25","10.1002/er.8199","https://www.scopus.com/pages/publications/85131210361?origin=resultslist","The adaptation of intelligent transportation system has evolved the quality of life of people with the huge demand for electric vehicles. Moreover, it becomes essential to schedule an electric vehicle for charging optimally. Therefore, this paper proposes a blockchain-based electric vehicle charging reservation scheme for optimum pricing. It primarily aims to secure data transactions between electric vehicles and charging stations. It uses the communication channel as 5G to ensure ultra-low latency and extremely high reliability. Furthermore, the proposed scheme uses a double-auction mechanism to optimize the payoff for both electric vehicles and charging stations. The performance of the proposed scheme is evaluated by distinguishing it from the conventional networks such as 4G and LTE-A. The performance parameters are considered profit and loss for electric vehicles, scalability, cost overhead for data storage, communication overhead for data transactions, and data storage cost. Results show that the proposed scheme is secure and achieves the optimized payoff for electric vehicles and charging stations compared with traditional approaches. © 2022 John Wiley & Sons Ltd.","blockchain; double-auction mechanism; electric vehicle charging; ethereum; optimum pricing; smart contract","Charging (batteries); Costs; Digital storage; Electric losses; Electric vehicles; Ethereum; Intelligent systems; Block-chain; Charging station; Data storage; Data transaction; Double auction mechanism; Electric vehicle charging; Intelligent transportation systems; Optimum pricing; Quality of life; Secure data; Smart contract","Article","Final","","Scopus","2-s2.0-85131210361"
"Peelam M.S.; Chamola V.","Peelam, Mritunjay Shall (57263897400); Chamola, Vinay (55427784900)","57263897400; 55427784900","Blockchain-Enabled Secure V2V and V2G Energy Trading for Carbon-Aware Internet of Energy (IoE) Networks","2026","IEEE Network","40","2","","97","103","1","10.1109/MNET.2025.3619992","https://www.scopus.com/pages/publications/105020985565?origin=resultslist","As the Internet of Energy (IoE) network expands, integrating Electric Vehicles (EVs) into de-centralized energy systems is essential for a secure and sustainable low-carbon future. However, EV adoption faces challenges such as limited driving range and inadequate charging infrastructure, particularly in rural and highway areas. This paper presents a blockchain-enabled framework for secure Vehicle-to-Vehicle (V2V) and Vehicle-to-Grid (V2G) energy trading, enhancing energy flexibility within the Carbon-­Intelligent IoE. The framework optimizes trading strategies, ensures fairness, and stabilizes the grid by incorporating key game-theoretic models, Contract Theory, Bayesian Game Theory, and Evolutionary Game Theory, which are central to the proposed energy trading mechanism. Built on a lightweight Hyperledger Fabric architecture, the framework enables secure, transparent, and cost-efficient transactions. Performance evaluations show high efficiency, with transaction throughputs of 49.8 TPS for payments, 44.7 TPS for energy trades, and an average latency of 0.09-0.18 seconds. Resource utilization analysis indicates an average CPU usage of 23.76% and memory consumption of 169.5 MB during trade proposals. These results demonstrate the framework's scalability, security, and robustness in enabling decentralized, carbon-intelligent energy trading within the IoE, advancing next-generation smart energy ecosystems.  © 2025 IEEE.","","Bayesian networks; Blockchain; Carbon; Ecosystems; Internet of Energy; Networks (circuits); Power markets; Vehicles; Block-chain; Charging infrastructures; Decentralized energy system; Driving range; Energy; Energy networks; Energy trading; Low-carbon futures; Vehicle to Grid (V2G); Vehicle to vehicles; Game theory","Article","Final","","Scopus","2-s2.0-105020985565"
"Kavitha D.; Sharmila B.","Kavitha, D. (57209768970); Sharmila, B. (57194622852)","57209768970; 57194622852","Smart battery management in EVs using IoT, blockchain, and machine learning","2025","Scientific Reports","15","1","37650","","","0","10.1038/s41598-025-21605-2","https://www.scopus.com/pages/publications/105020175347?origin=resultslist","Electric Vehicles (EVs) have gained significant attention in recent years, mostly owing to the advancements in electric motors and minimal impact on the environment. In the same way, the rapid development of the Internet of Things (IoT) facilitated the interconnection of an increasing number of devices. A significant challenge that EVs have presently is the restricted battery range and a shortage of charging or battery switching facilities. The Battery Management System (BMS) is significant in EVs since it regulates and monitors battery functionality, providing optimal efficiency and prolonging battery lifespan. Integrating IoT and Blockchain (BC) in BMS offers a promising approach to enhance energy efficiency and battery state evaluation. In this research, a BMS model for EVs using IoT, blockchain and machine learning (ML) is developed. The IoT sensors have been equipped to the electric vehicles to gather data such as the level of charging, the distance to be travelled, and the EVs location. For determining the cost of charging, this information is stored and processed by a database, and then it is given as input to the Extreme Gradient Boosting (XGBoost) classifier. After that, the power scheduling based on the Grey Wolf Optimization (GWO) technique processes it to determine the location of the charging station, as well as the time and space of charging that is closest. Finally, this data is stored in blocks to prevent intruders from gaining access to electric vehicles and to ensure that pricing transactions between users and charging stations are carried out in a secure manner. For these secure transactions, a permissioned blockchain with homomorphic encryption (HE) is implemented. The results show that the research work produced an enhanced BMS model with an accuracy rate of 97.36% in detecting close charging station and that it maintains a communication overhead with 35 ms, which was 14% lower than the compared models. © The Author(s) 2025.","Blockchain; Electric vehicles; GWO; HE; IoT; Machine learning; XGBoost","article; blockchain; classifier; controlled study; data base; diagnosis; electric engine; homomorphic encryption; human; internet of things; machine learning; pharmaceutics; sensor","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020175347"
